intent|prompt
Comedia|"No soy un experto cinéfilo, pero pocas veces me había sentido tan fuera de juego en una sala de cine: un auténtico perro verde. Leyendo las críticas en Filmaffinity, esta sensación se acrecienta, y voy cogiendo tonos atornasolados. La película no me gustó (con la honrosa excepción de alguna situación francamente buena): las bromas oscilaban entre ""muy fáciles"" y ""todavía más fáciles"" y la sobreactuación caricaturesca de los actores me exasperaba; esforzándome por contagiarme de las constantes risas que me rodeaban y de aquella señora de la última fila que disfrutaba de la película de su vida... pero fui incapaz.O me hago mayor y se me está agriando el carácter y no tengo el buen humor del que solía fanfarronear o... ¡hay algo que se me escapa!.Justo después de terminar de ver Breaking Bad (nada que ver en cuanto a género, por supuesto) me enfrento a este engendro y se me cae el alma a los pies... pero el tema empeora después de leer algunas críticas en las que se ensalza la frescura del guión y... la figura salvadora de esta película para la industria cinematográfica patria!Aaaagg... por favor, ¡decidme que no me estoy volviendo loco! ¿¿De verdad es tan buena y me lo he perdido??"
Comedia|"Si no eres un incondicional del humor estilo Tele 5.Si no terminas de captar de qué se ríen los adolescentes granulentos de tu familia.Si eres más de David Navarro que de Dani Rovira.Si lo de ""Euskadi tiene un color especial"" no te parece el hallazgo del siglo.Si con el Risitas y el Peíto has sentido alguna vez vergüenza ajena.Si te da repelús que algunos alaben esta película por su ""valentía"".Si no crees que haya que ser una Juana de Arco para explotar topicazos.Si ""Bienvenidos al Norte"" te pareció una puta chorrada.Si te importa un huevo que te digan que no tienes sentido del humor.Si Emilio Martínez-Lázaro te parece un director-despojo.Si te avergüenzan los índices de audiencia de la televisión de este país.Si no acostumbras a comer mierda.... No te comas esta mierda."
Comedia|No sé qué está pasando, si la gente se deja llevar por las modas, si de verdad les gusta o sólo van porque les pone Dani Rovira, pero el éxito desmedido de Ocho apellidos vascos me tiene sorprendido. Se ha convertido en la película más taquillera del año y aún le queda mucho camino. Tenía que verla, tenía que saber si realmente estábamos ante un producto genial, fresco e inteligente… pero no...La película es tópico tras tópico, mal enlazados y llevados por la vulgaridad. La película podría haber jugado con esa mezcla de culturas vascas y andaluzas de una forma más inteligente, como bien hizo la grandísima Bienvenidos al norte, pero en lugar de eso nos encontramos con unas garruladas al estilo Aida. Es más, la película parece un capítulo largo de dicha serie escondido bajo la trama de una comedia romántica con la misma estructura que todas. Pero tenemos comedias románticas creíbles, Ocho apellidos vascos no es creíble en ningún momento.En el apartado actoral es todo malo. Dani Rovira imita bien a los vascos y ya, no encuentro la gracia al chaval este y me temo que estará ahora muy de moda. Clara Lago sosa, sosíma: ¿Dónde quedo la muchacha de El viaje de Carol? Seguramente se perdió en Guipúzcoa. Carmen Machi haciendo de Carmen Machi. Destacar únicamente al gran Karra Elejalde, aunque su personaje resulte a veces insoportable y a los chavales de El mundo es nuestro, Alfonso Sánchez y Alberto López, que están muy divertidos en cada escasa aparición que tienenComo vasco me sentiría ofendido, como andaluz insultado y como cinéfilo que soy me siento aterrado que cosas así puedan tener la difusión que tienen. Me alegro por el éxito porque beneficia a nuestro cine, pero que sea con algo mejor de mayor calidad y no con prolongaciones de éxitos de Mediaset.Mención aparte, cierto grupo musical al final de la película. Horrible y casposo. Una pena.
Comedia|Pero cuando amanece,y me quedo solo,siento en el fondoun mar vacío,un seco río,que grita y gritaque sólo soyun hombre solo,un hombre solo,un hombre solo
Comedia|La llegada de Rafa a Euskadi es como ponerse a ver 8 apellidos vascos ¿de qué irá esto? Bueno, pues afortunadamente tenemos una película lejos de miedos y sobre todo lejos de convencionalismos y temas tabú. Esto hace que pueda parecer muy previsible, la típica comedia romántica de enredos ambientada con grandes contrastes por todos conocidos: cultura, lengua, clima, etc etc, y encima agregando las tradiciones tan dispares, vamos a decir que sí, que sí coño, que es la típica comedia tonta romántica de enredos y con las consabidas tonterías de siempre, pero amigo, funciona.Y funciona porque resulta que no quieres descubrir nada de nada; que te lo sabes todo y no quieres que nadie te salga teorizando sobre el conflicto vasco. Quieres que te cuenten, sí, pero lejos de teorías. Quieres el calor de las herriko tabernas, chistes tontos y escenas previsibles con gente de la calle y de la mar, y entonces te puedes dar cuenta que justo esa es la mejor cualidad de la película y, la verdad, tiene muchas, pero la más importante es su absoluta sencillez. No es ninguna joya del cine, ni espléndida ni reveladora ni un auténtico bombazo… Pues mejor que mejor, ese es el secreto.La película está hecha con ganas de agradar, con una fotografía estupenda como no puede ser de otra forma con esos paisajes tan hermosos y con la cualidad de que con un mono tema tan sencillo no decae en ningún momento. Porque tiene momentos espléndidos y personajes dentro de la lógica que dominan la acción con una naturalidad y espontaneidad digna de reconocer. Igual que el choque de generaciones se hace súper creíble y hasta emociona un pelín, agradablemente, siempre con la sencillez por delante, o la simpleza si quieres; con un conflicto padre e hija como única historia venida de atrás que ahí queda.No busques tres pies al gato ni te hagas el listo teorizando sobre el guión, la pobre producción, la previsibilidad de las escenas o las raíces vascas. La tierra está llena de raíces y los topos y otros roedores sin pedigrí alguno se las meriendan con todo descaro y sin saber de qué leches son. No busques 8 apellidos vascos… bueno, a no ser que una chica vasca te guste mucho y no te quede más remedio. Yo creo que uno pasa un buen rato, y como paso de pijos y kale borrocas progres, pues sin problemas.
Comedia|El nivel del cine y lo peor la capacidad intelectual progresa como la crisis. Esta es la película más vista en España. 38 millones de euros recaudados...      Envasa caca de vaca en un bonito bote y promociónalo adecuadamente y ahí tienes un éxito asegurado.   Hace poco tiempo salió en televisión un catador de vinos al que engañaron envasando vino de calidad en una botella corriente y viceversa.  El vino de calidad le pareció corriente y del barato destacó sus notas afrutadas, su color rubí intenso y el aroma final que evoluciona en boca... Si, hacia la estupidez.   Adelante, que así nos va....
Comedia|"Es triste ver una película como ésta y escuchar a tu alrededor a la gente morir de la risa mientras tú bostezas a ratos, sientes vergüenza ajena ante la mayor parte de las escenas y esbozas una sonrisa inapreciable ante algún gag puntual. Es triste que un guionista como Borja Cobeaga -autor de las notables ""no controles"" y ""pagafantas"" entre otras- se deje arrastrar con facilidad por los senderos del tópico ramplón sin atreverse a darle la vuelta a los prejuicios establecidos, enunciándolos y escenificándolos desde esa perspectiva amable y complaciente que recuerda tanto a la postura de Santiago Segura ante los desmanes de su personaje Torrente. Es triste la desgana con la que Emilio Martínez-Lázaro dirige esta película. Como si tuviera que ponerse a hacer un capítulo de relleno de algún subproducto televisivo tipo ""Los Serrano"" o ""Farmacia de guardia"". Su escritura cinematográfica es tan vulgar, su puesta en escena es tan mediocre, su desprecio por los personajes es tan evidente, su factura visual es tan pobre y sus concatenaciones de planos son tan predecibles que uno se pregunta si su cuenta bancaria está realmente tan bajo cero como parece indicar el hecho de que haya aceptado dirigir una película que aparentemente le importa un carajo. Es triste comprobar como Clara Lago se acerca lenta pero pacientemente al trono de la ""peor actriz española en mucho tiempo"". Es triste constatar cómo una fotocopia mediocre de Paco León llamada Dani Rovira es encumbrada como la gran esperanza cómica de este país. Es triste comprobar que, en el subconsciente del español medio que se parte con esta película laten una serie de prejuicios ultraconservadores y sentimentaloides que provocan un miedo proporcional al volumen de sus carcajadas. Es triste pagar 8,40 € por aburrirse y cabrearse y disgustarse a partes iguales en una sala de cine. Es triste comprobar que una película que uno no vería ni un domingo por la tarde de resaca en el sofá con la pizza en la mano tiene una calificación de 6,9 en filmaffinity. Es triste que la mediocridad triunfe de forma tan espectacular. Es triste vivir en España. Miento, es imposible. Es triste."
Comedia|Puedo entender que Torrente I y II y Lo imposible fueran las películas españolas más taquilleras, una por ser una comedia zafia, con mala leche, cultivando el hijoputismo, y la otra por no tener nada que envidiar a cualquier superproducción dramática norteamericana, pero el caso de ocho apellidos vascos no lo entiendo.No entiendo al guionista que debe ser noruego o turco, ya que no se puede basar más en estereotipos tanto vascos como andaluces, que sólo a idiotas pueden hacer gracia, pero viendo que Telecinco está detrás de esta exitosa producción, entiendo a que grupo está encaminada, por desgracia a todos los españoles...Hay un par de puntos en la película, pero no son para partirse el hojaldre, el guión es insulso, predecible y sin giros.Ni si quiera los protagonistas tienen ni pajolera gracia, ni Dani Rovira, ni Clara Lago, ni Carmen Machi, salvaría únicamente a Karra Elejalde.Triste España que desayuna, almuerza, merienda y cena desperdicios en televisión, para que ahora también se contamine el cine.Un saludo
Comedia|"-Ahivalohostia, Txomin, qué montón de gente riéndose!!!-¿Dónde, Patxi?-¿No los ves, chiqui? Ahivalaostia, pues. ¡Ahí! Disfrutando de vernos!!-¿A nosotros?-¿A quién si no, Txomin?-Espera, que me pongo la txapela y me pongo con la pelota-¿Y pa qué, pues?-Pa todos estos que se ríen, Patxi. Pa tener más gracia.-Eskarrikasko kakatua abertxandal, ahivalaostia, gorrotxategi, garaigordobil!!!-Hostia, ha hecho efecto, tío... se escojonan!!!-Que suene el txistu!!!Ahora es cuando la sana masa nos dice, (a los dos o tres sabedores que esto del Martínez Lázaro es una mierda pinchada en un palo) que somos unos amargados, unos gilipollas, unos pedantes y unos listillos que van de intelectuales. ¡Qué le vamos a hacer!  Vaya por delante que la película es mala, pero inofensiva. No puede, (ni siquiera), hacer daño de ningún tipo.  Algún otro como yo ya habló del bodrio, de su falta de ritmo de comedia, de sus lamentables actores, (siempre sobreactuados para hacer, supuestamente, más gracia, como en todas las comedias televisivas españolas), de su vulgaridad y, en el fondo, apatía vital y ausencia total de reacciones químicas positivas. No, el problema no es la tontuna de la película. El problema, a mi juicio, es su tremendo éxito.Me limitaré a hacer dos reflexiones al respecto: si desde mañana, en este mi país, todas las fuerzas mediáticas y publicitarias se esforzaran en alabar la tortilla de excrementos caninos, (con el mismo incansable ímpetu con que han alabado ""Ocho apellidos vascos"", incluso cambiando el signo de la crítica cuando esta era contraria a los intereses del film, como ocurrió en el muy ""imparcial"" diario ""El País""), podéis estar seguros de la tapa que, con vuestro beneplácito, os iban a servir mañana con la ""servesita"", amigos. La otra reflexión parte del hecho, innegable, del éxito mismo: muchísimos españoles aplauden un bodrio que trata de una manera rancia y estúpida los tópicos más manidos con que, en el imaginario popular, se suelen diferenciar los distintos países o regiones de España. Para uno que, naturalmente, ha viajado, resulta descorazonador ver la ignorancia supina que gran parte de los españoles, (no necesariamente, ni probablemente, los artífices de la película,), tienen de su propio país, del desprecio que sienten por sus culturas, el desinterés por sus obras de arte, su historia, sus paisajes, sus gentes...incluso por sus ""desviaciones"", como el fenómeno totalitario de ETA. Este desconocimiento absoluto parte ya de las aulas, donde muchos alumnos no saben situar ¡¡¡Madrid!!! en un mapa, y sé de lo que hablo. Resulta descorazonador porque no estamos en el siglo XXI, ni en la aldea global, ni en nada de eso que nos venden. Nadie que haya recorrido tranquilamente, con espíritu curioso, (con amor incluso, aun a riesgo de ponerme cursi), España, toda España, (y nadie que haya visto buen cine, por supuesto), reirá con esta retrógrada y anti-transgresora cinta. En esa captación masiva de cierto tipo de público radica el único mérito, comercial, de la misma: los productores han sabido olfatear bien  el percal que se mueve por la piel de toro. Está claro que no es una película dañina, o perniciosa. Lo malo es el éxito que ha tenido. Me encantaría ver el porcentaje de aprobación por comunidades autónomas. Sospecho que en el sur la disfrutan mucho más.Conclusión lógica a la vista del acierto: ""Nueve apellidos catalanes"", que llegará pronto. No os la perdáis.Crítica muy áspera, pero no puedo permitir que una comedia me aburra tanto."
Drama|"No quiero parecer frío ni incrédulo, pero no me creo ""Lo imposible"". No porque lo que suceda no pueda haber tenido lugar sino porque tal cual está montada la película parece... eso, un montaje, un anuncio de colonias con un tratamiento de la imagen tan pulcro que se convierte en irreal. Infectada con el 'espíritu Spielberg' en un sentido global, copiando elementos estilísticos (eternos planos a contraluz, con atardeceres/amaneceres, primeros planos con gente abriendo bocas, giros de cámara con música machacona intentando conducir las emociones) y otros narrativos, como el énfasis en la unidad familiar o la personalidad de los personajes, siendo algunos de ellos una idealización total de un concepto (la madre, María, que es prácticamente una santa ayudando al prójimo), ""Lo imposible"" es un gran artefacto cinematográfico a nivel formal pero a mi, personalmente, no me llega.Y no lo hace porque es demasiado 'perfecta', calculada, dirigida (emocionalmente) hacia puntos tan concretos que no hay posibilidad de meterse en la narración. Decir que es previsible sería innecesario teniendo en cuenta que ya en el propio cartel de la película te cuentan el final, pero es que los pequeños conflictos que van sucediéndoles a los protagonistas son tan fáciles de predecir que la intriga se diluye. ¿De qué sirve un drama de supervivencia si conoces de antemano el destino de quienes están involucrados? No le exijo que sea ingeniosa o que de giros, sólo que sea capaz de mantener la intriga. No ayuda tampoco a que la película sea creíble que los dos protagonistas sean Watts/McGregor ni que sus niños sean tan extremadamente fotogénicos. Como digo, todo está idealizado al máximo, es un festival de primeros planos de ojos azules intensos, secuencias humanas forzadísimas (atentos a la parte del teléfono móvil, lo de Daniel o la subtrama del padre sueco) y un uso de la luz que intenta engrandecer más las cosas añadiendo capas de magnificencia a una película perfectamente facturada por y para emocionar al público. Si se ve y falla en eso, poco más queda.Juan Antonio Bayona ha hecho una película estimable que gustará al público general hambriento de sensaciones fuertes, eso es indudable. Pero si no llega... no llega. A mi me ha parecido fría, y eso que fuerza continuamente la emoción, pero quizá a costa de insistir termina por resentirse. Mucho mejor eso sí que porno-dramas como ""Camino"" o ""Precious"". Ah, bueno, eso sí: si esta película es española yo soy checo. Actor escocés, actriz australiana, hecha con dinero americano y contando la historia de un tsunami asiático. Que sí, que le pasó a una familia española... por cierto, googlead sus nombres. Nada que ver con la fotogenia de Watts (buen papel cuando le dejan), McGregor, Holland y el resto de niños de anuncio de champú. Una película ""muy americana"" en todo el sentido del término."
